ID,Название,Департамент,Город,Опыт,Расписание,Формат работы,Рабочие часы,График,Зарплата,Ссылка,Требования,Зона ответственности
129264164,ИТ-специалист (стажер),,Волгоград,Нет опыта,Полный день,На месте работодателя,"8 часов, По договорённости",5/2,Не указана,https://hh.ru/vacancy/129264164,Логическое мышление (3 задания на логику - до 15 минут). - Основы SQL (тест по основам SQL - до 15 минут). - ,"Аналитика: системная аналитика, бизнес-аналитика, фуллстэк-аналитика, аналитика Big Data. Разработка: на C++, Java, Python, C#, JavaScript, Базы данных. "
129264165,ИТ-специалист (стажер),,Пенза,Нет опыта,Полный день,На месте работодателя,"8 часов, По договорённости",5/2,Не указана,https://hh.ru/vacancy/129264165,Логическое мышление (3 задания на логику - до 15 минут). - Основы SQL (тест по основам SQL - до 15 минут). - ,"Аналитика: системная аналитика, бизнес-аналитика, фуллстэк-аналитика, аналитика Big Data. Разработка: на C++, Java, Python, C#, JavaScript, Базы данных. "
129901752,Стажёр по нагрузочному тестированию (на Java/С++/С#/GO),,Волгоград,Нет опыта,Полный день,На месте работодателя,8 часов,5/2,Не указана,https://hh.ru/vacancy/129901752,"В том числе Учишься на последнем курсе бакалавриата или магистратуры по IT-направлению. Имеешь базовые, но уверенные знания Java (в...","Знаком с основами тестирования (чек-лист, тест-кейс, баг-репорт, чбс, модели разработки ПО и тд.). Онлайн-тест по основам..."
129794895,Стажёр по нагрузочному тестированию (на Java/С++/С#/GO),,Пермь,Нет опыта,Полный день,На месте работодателя,8 часов,5/2,Не указана,https://hh.ru/vacancy/129794895,"В том числе Учишься на последнем курсе бакалавриата или магистратуры по IT-направлению. Имеешь базовые, но уверенные знания Java (в...","Знаком с основами тестирования (чек-лист, тест-кейс, баг-репорт, чбс, модели разработки ПО и тд.). Онлайн-тест по основам..."
129795283,Стажёр по нагрузочному тестированию (на Java/С++/С#/GO),,Ижевск,Нет опыта,Полный день,На месте работодателя,8 часов,5/2,Не указана,https://hh.ru/vacancy/129795283,"В том числе Учишься на последнем курсе бакалавриата или магистратуры по IT-направлению. Имеешь базовые, но уверенные знания Java (в...","Знаком с основами тестирования (чек-лист, тест-кейс, баг-репорт, чбс, модели разработки ПО и тд.). Онлайн-тест по основам..."
129794303,Стажёр по нагрузочному тестированию (на Java/С++/С#/GO),,Пенза,Нет опыта,Полный день,На месте работодателя,8 часов,5/2,Не указана,https://hh.ru/vacancy/129794303,"В том числе Учишься на последнем курсе бакалавриата или магистратуры по IT-направлению. Имеешь базовые, но уверенные знания Java (в...","Знаком с основами тестирования (чек-лист, тест-кейс, баг-репорт, чбс, модели разработки ПО и тд.). Онлайн-тест по основам..."
129466423,Дизайнер (стажер),,Санкт-Петербург,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129466423,"Умеете создавать визуалы в PowerPoint, Pixso, Adobe Illustrator, Photoshop. Внимательны к деталям, творчески подходите к решению задач, умеете адаптироваться к...","Предстоящие задачи: Разрабатывать дизайн презентаций для внутренних и внешних встреч. Создавать корпоративный мерч (футболки, кружки, стикеры и т.д.). "
129452217,UX-UI дизайнер (стажер),,Санкт-Петербург,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129452217,Понимание принципов работы с векторной графикой. Знание Figma или другого программного обеспечения для проектирования пользовательских интерфейсов. Наличие портфолио (будет существенным...,Подготовка графических материалов для использования в продуктах. Участие в создании и документировании дизайн‑систем компании. Поддержка стилевого единства всех продуктов.
129603286,"Стажер ""Дизайнер""",,Рязань,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129603286,"Умеете создавать визуалы в PowerPoint, Pixso, Adobe Illustrator, Photoshop. Внимательны к деталям, творчески подходите к решению задач, умеете адаптироваться к...","Предстоящие задачи: Разрабатывать дизайн презентаций для внутренних и внешних встреч. Создавать корпоративный мерч (футболки, кружки, стикеры и т.д.). "
129456682,Дизайнер (стажер),,Новосибирск,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129456682,"Умеете создавать визуалы в PowerPoint, Pixso, Adobe Illustrator, Photoshop. Внимательны к деталям, творчески подходите к решению задач, умеете адаптироваться к...","Предстоящие задачи: Разрабатывать дизайн презентаций для внутренних и внешних встреч. Создавать корпоративный мерч (футболки, кружки, стикеры и т.д.). "
